seq_no|Company|Supplier Invoice Document|Invoice Date|Invoice Line Amount|Invoice Created Date|Purchase Orders|Purchase Order Line|Item|Unit of Measure|Distribution Quantity|Line Description|Unit Cost|Supplier|Supplier ID|Ledger Account|Spend Category|Cost Center|Cost Center ID|Payment Status|Payment Date|FY25?|Check Number|Freight Amount|Other Charges|Invoice Status|Supplier Invoice Line Distribution|Invoice Total Amount|Derived Invoice Line Amount|CCHS_Description|UMass_Description
14850394|C340 UMass Memorial Medical Group, Inc.|Supplier Invoice Adjustment: SINV-445257|10/24/2024|56.9|10/25/2024|PO-152409||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|34000 - 3095 Bolton Primary Care|CC340003095|Paid|11/18/2024|Yes|1129535.0|0|0|Approved|Supplier Invoice Adjustment: SINV-445257  - -56.9|-105.65|56.9|Freight|freight
14850409|C340 UMass Memorial Medical Group, Inc.|Supplier Invoice Adjustment: SINV-446759|10/26/2024|25.0|10/26/2024|PO-187616||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|34000 - 3064 281 Lincoln Internal Medicine|CC340003064|Paid|11/18/2024|Yes|1129535.0|0|0|Approved|Supplier Invoice Adjustment: SINV-446759  - -25|-445.8|25.0|Freight|freight
14850722|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice Adjustment: SINV-456882|11/4/2024|25.0|11/5/2024|PO-189321||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10020 - 2126 Endoscopy Center|CC100202126|Paid|11/27/2024|Yes|1178769.0|0|0|Approved|Supplier Invoice Adjustment: SINV-456882  - -25|-288.4|25.0|Freight|freight
14850724|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice Adjustment: SINV-456883|11/4/2024|25.0|11/5/2024|PO-189490||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10020 - 5182 Visitor Screening Ambassadors|CC100205182|Paid|11/27/2024|Yes|1178769.0|0|0|Approved|Supplier Invoice Adjustment: SINV-456883  - -25|-56.0|25.0|Freight|freight
14850726|C340 UMass Memorial Medical Group, Inc.|Supplier Invoice Adjustment: SINV-456884|11/4/2024|-74.0|11/5/2024|PO-190931|PO-190931 - Line 1|ITM-409952 - CONTAINER SHARPS 5.4QT|Case|1.0|CONTAINER SHARPS 5.4QT|74.0|Medline Industries Inc|2767|8300:Medical and Surgical supplies|Medical Surgical Supplies|34000 - 3157 Fitchburg Family Medicine|CC340003157|Paid|11/27/2024|Yes|1178769.0|0|0|Approved|Supplier Invoice Adjustment: SINV-456884 - ITM-409952 - CONTAINER SHARPS 5.4QT - 74|-49.0|74.0|CONTAINER SHARPS PT RM CLR 5.4QT|CONTAINER SHARPS 5.4QT
14850727|C210 Marlborough Hospital|Supplier Invoice Adjustment: SINV-456888|11/4/2024|25.0|11/5/2024|PO-188166||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|21000 - 2340 Emergency Room|CC210002340|Paid|11/27/2024|Yes|1178769.0|0|0|Approved|Supplier Invoice Adjustment: SINV-456888  - -25|-69.41|25.0|Freight|freight
14851064|C250 UMass Memorial Health - Harrington Hospital, Inc.|Supplier Invoice Adjustment: SINV-467293|11/12/2024|-13.81|11/13/2024|PO-192713||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|25080 - 5800 Administration|CC250805800|Paid|12/6/2024|Yes|1204036.0|0|0|Approved|Supplier Invoice Adjustment: SINV-467293  - 13.81|-60.54|13.81|Freight|freight
14851251|C250 UMass Memorial Health - Harrington Hospital, Inc.|Supplier Invoice Adjustment: SINV-479840|11/23/2024|-61.88|11/25/2024|PO-199226|PO-199226 - Line 1|ITM-428015 - BAG SPONGE COUNTER BLUE|Case|1.0|BAG SPONGE COUNTER BLUE|61.88|Medline Industries Inc|2767|8300:Medical and Surgical supplies|Medical Surgical Supplies|25080 - 2110 Operating Room|CC250802110|Paid|12/16/2024|Yes|1229443.0|0|0|Approved|Supplier Invoice Adjustment: SINV-479840 - ITM-428015 - BAG SPONGE COUNTER BLUE - 61.88|-61.88|61.88|COUNTER SPONGE BAG BLU LF|BAG SPONGE COUNTER BLUE
14851286|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice Adjustment: SINV-480466|11/26/2024|25.0|11/26/2024|PO-185060||||0.0|freight|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10020 - 5182 Visitor Screening Ambassadors|CC100205182|Paid|12/20/2024|Yes|1254317.0|0|0|Approved|Supplier Invoice Adjustment: SINV-480466  - -25|-83.0|25.0|Freight|freight
14851289|C710 Community Healthlink, Inc.|Supplier Invoice Adjustment: SINV-480469|11/25/2024|25.0|11/26/2024|PO-197636||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|71000 - 0126 TSS|CC710000126|Paid|12/18/2024|Yes|1254139.0|0|0|Approved|Supplier Invoice Adjustment: SINV-480469  - -25|-280.94|25.0|Freight|freight
