seq_no|Supplier|Invoice_Date|Line_Description|QUANTITY|UNIT_OF_MEASURE|UNIT_COST|EXTENDED_AMOUNT
14860945|Medline Industries Inc|6/30/2025|PACK TOTAL HIP CDS|1.0|Each|297.8|-297.8
14860947|Medline Industries Inc|7/15/2025|PACK MINOR CDS|1.0|Each|131.2|-131.2
14861008|Medline Industries Inc|6/3/2025|PEROXIDE HYDROGEN 3 PERCENT 16OZ|1.0|Case|7.31|-7.31
14861010|Medline Industries Inc|6/3/2025|PEROXIDE HYDROGEN 3 PERCENT 16OZ|1.0|Case|7.31|-7.31
14861038|Medline Industries Inc|3/10/2025|PACK ENT CDS|1.0|Case|159.82|-159.82
14861041|Medline Industries Inc|2/20/2025|freight|1.0||-25.0|25.0
14861049|Medline Industries Inc|6/3/2025|PEROXIDE HYDROGEN 3 PERCENT 16OZ|1.0|Case|7.31|-7.31
14861055|Medline Industries Inc|3/17/2025|CANNULA UNIVERSAL FIXATION 5MMX100MM VERSAONE|2.0|Box|43.38|-86.76
14861057|Medline Industries Inc|3/19/2025|freight|0.0||0.0|-21.66
14861073|Medline Industries Inc|3/21/2025|PACK MINOR CDS|1.0|Case|393.6|-393.6
14861173|Medline Industries Inc|6/3/2025|PEROXIDE HYDROGEN 3 PERCENT 16OZ|1.0|Case|7.31|-7.31
14861180|Medline Industries Inc|6/3/2025|PEROXIDE HYDROGEN 3 PERCENT 16OZ|1.0|Case|7.31|-7.31
14861201|Medline Industries Inc|4/4/2025|PEROXIDE HYDROGEN 3 PERCENT 16OZ|1.0|Case|7.31|-7.31
14861208|Medline Industries Inc|5/2/2025|PACK MINOR CDS|1.0|Case|131.2|-131.2
14861209|Medline Industries Inc|4/16/2025|Freight|1.0||37.4|-37.4
14861210|Medline Industries Inc|4/16/2025|Freight|1.0||42.63|-42.63
14861212|Medline Industries Inc|4/23/2025|Freight|-1.0||25.0|25.0
14861214|Medline Industries Inc|4/23/2025|Freight|-1.0||25.0|25.0
14861216|Medline Industries Inc|4/23/2025|freight|0.0||0.0|25.0
14861227|Medline Industries Inc|8/6/2025|FREIGHT|-1.0||25.0|25.0
14861250|Medline Industries Inc|4/24/2025|CANNULA UNIVERSAL FIXATION 5MMX100MM VERSAONE|4.0|Box|43.38|-173.52
14861252|Medline Industries Inc|4/29/2025|PACK ANESTHESIA CIRCUIT ADULT DISPOSABLE|2.0|Case|212.33|-424.66
14861384|Medline Industries Inc|8/9/2025|freight|0.0||0.0|-16.46
14861955|Medline Industries Inc|6/5/2025|SPECULUM,VAGINAL,ER,BULT-IN-LIGHT,MD|2.0||114.78|-229.56
14862019|Medline Industries Inc|4/9/2025|COVER PROBE THERMOMETER DISPOSABLE SURETEMP|2.0|Box|13.19|-26.38
14862052|Medline Industries Inc|6/3/2025|PEROXIDE HYDROGEN 3 PERCENT 16OZ|1.0|Case|7.31|-7.31
14862054|Medline Industries Inc|6/3/2025|PEROXIDE HYDROGEN 3 PERCENT 16OZ|1.0|Case|7.31|-7.31
14862055|Medline Industries Inc|6/3/2025|ulnar nerve foam|1.0||42.52|-42.52
14862056|Medline Industries Inc|6/3/2025|PEROXIDE HYDROGEN 3 PERCENT 16OZ|1.0|Case|7.31|-7.31
14862075|Medline Industries Inc|6/3/2025|bandage|3.0||8.62|-25.87
14862234|Medline Industries Inc|8/18/2025|freight|0.0||0.0|-61.41
14862388|Medline Industries Inc|8/21/2025|DRESSING NON-ADHERENT STERILE 3INX3IN CURITY|0.25|Case|1.0|-0.25
14862389|Medline Industries Inc|8/21/2025|DRESSING NON-ADHERENT STERILE 3INX3IN CURITY|0.25|Case|1.0|-0.25
14862945|Medline Industries Inc|9/9/2025|freight|0.0||0.0|25.0
14863091|Medline Industries Inc|9/12/2025|freight|0.0||0.0|25.0
14863747|Medline Industries Inc|8/25/2025|freight|0.0||0.0|-21.79
14863751|Medline Industries Inc|9/12/2025|SPECULUM VAGINAL DISPOSABLE NONSTERILE SMALL|1.0|Case|73.23|-73.23
14863753|Medline Industries Inc|9/9/2025|PEROXIDE HYDROGEN 3 PERCENT 16OZ|11.0|Case|7.98|-87.78
14865068|Medline Industries Inc|5/11/2024|CURETTE DERMAL DISPOSABLE 5MM|3.0|Box|181.39|544.17
14865069|Medline Industries Inc|5/11/2024|freight|1.0||35.09|35.09
14866344|Medline Industries Inc|8/1/2024|FREIGHT|1.0||42.65|42.65
14866375|Medline Industries Inc|8/2/2024|FREIGHT|1.0||12.66|12.66
14866377|Medline Industries Inc|8/2/2024|FREIGHT|1.0||12.17|12.17
14866935|Medline Industries Inc|8/19/2024|FREIGHT|1.0||12.17|12.17
14867125|Medline Industries Inc|8/23/2024|freight|1.0||12.17|12.17
14867619|Medline Industries Inc|9/5/2024|freight|1.0||168.66|168.66
14867632|Medline Industries Inc|9/5/2024|[ Catalog: MIL3355 ] CURETTE,DERMAL,DISPOSABLE,5 MM|2.0|Box|181.39|362.78
14867635|Medline Industries Inc|9/5/2024|[ Catalog: SQU420674 ] DRESSING,AQUACEL,XTRA HYDROFIBER,4 X 5|10.0|Box|28.58|285.8
14867636|Medline Industries Inc|9/5/2024|"[ Catalog: SQU422299BX ] DRESSING,AQUACEL,AG,ADVANTAGE,4""X5"""|10.0|Box|77.08|770.8
14867637|Medline Industries Inc|9/5/2024|"[ Catalog: ALA581011 ] DRESSING,MEPILX,BRDR,FLX LITE,1.6X2"""|1.0|Case|84.7|84.7
14867639|Medline Industries Inc|9/5/2024|"[ Catalog: MMM15383 ] TAPE,SURGICAL,DURAPORE,3""X10YD"|1.0|Case|60.0|60.0
14867825|Medline Industries Inc|9/7/2024|FREIGHT|0.0||0.0|859.06
14867833|Medline Industries Inc|9/7/2024|FREIGHT|0.0||0.0|12.98
14867889|Medline Industries Inc|1/24/2024|freight|1.0||47.02|47.02
14868094|Medline Industries Inc|9/11/2024|FREIGHT|0.0||0.0|46.03
14868184|Medline Industries Inc|9/12/2024|freight|1.0||12.18|12.18
14868798|Medline Industries Inc|9/18/2024|FREIGHT|0.0||0.0|26.85
14868949|Medline Industries Inc|5/29/2024|FREIGHT|0.0||0.0|13.31
14868950|Medline Industries Inc|4/8/2024|PACK C-SECTION ME-LF|4.0|Case|263.34|1053.36
14869279|Medline Industries Inc|9/21/2024|ITM-403521 - SPECULUM VAGINAL DISPOSABLE LARGE KLEENSPEC 590|1.0|Box|26.35|26.35
14869498|Medline Industries Inc|9/24/2024|FREIGHT|0.0||0.0|23.33
14869899|Medline Industries Inc|9/25/2024|freight|0.0||0.0|188.02
14870140|Medline Industries Inc|7/3/2024|freight|0.0||0.0|228.4
14870144|Medline Angelica|7/11/2024|freight|1.0||21.42|21.42
14870159|Medline Industries Inc|7/25/2024|freight|0.0||0.0|7.94
14870161|Medline Angelica|8/7/2024|freight|0.0||0.0|20.15
14870163|Medline Industries Inc|6/26/2024|freight|0.0||0.0|13.4
14870248|Medline Industries Inc|9/26/2024|freight|0.0||0.0|23.33
14870731|Medline Industries Inc|9/27/2024|freight|0.0||0.0|358.48
14870771|Medline Industries Inc|9/27/2024|freight|0.0||0.0|41.58
14870780|Medline Industries Inc|9/27/2024|freight|0.0||0.0|18.3
14870803|Medline Industries Inc|9/27/2024|freight|0.0||0.0|27.46
14870805|Medline Industries Inc|9/27/2024|freight|0.0||0.0|15.99
14870819|Medline Industries Inc|9/27/2024|freight|0.0||0.0|27.46
14870827|Medline Industries Inc|9/27/2024|freight|0.0||0.0|18.3
14871294|Medline Industries Inc|9/28/2024|freight|0.0||0.0|20.68
14871300|Medline Industries Inc|9/28/2024|freight|0.0||0.0|20.68
14871355|Medline Industries Inc|9/28/2024|freight|0.0||0.0|24.22
14873784|Medline Industries Inc|10/1/2024|FREIGHT|0.0||0.0|19.56
14873789|Medline Industries Inc|10/1/2024|FREIGHT|0.0||0.0|34.75
14873794|Medline Industries Inc|10/1/2024|FREIGHT|0.0||0.0|15.99
14873798|Medline Industries Inc|10/1/2024|FREIGHT|0.0||0.0|31.47
14873827|Medline Industries Inc|10/1/2024|FREIGHT|0.0||0.0|23.25
14873834|Medline Industries Inc|10/1/2024|"[ Catalog: ORT19400RL ] SPLINT,WRIST,8"",RT,LG,EA"|3.0|Each|4.94|14.82
14873838|Medline Industries Inc|10/1/2024|FREIGHT|0.0||0.0|132.56
14873884|Medline Industries Inc|10/1/2024|FREIGHT|0.0||0.0|113.4
14873897|Medline Industries Inc|10/1/2024|FREIGHT|0.0||0.0|23.01
14873940|Medline Industries Inc|10/1/2024|ITM-432332 - CURETTE DERMAL DISPOSABLE 5MM|1.0|Box|86.02|86.02
14873945|Medline Industries Inc|10/1/2024|FREIGHT|0.0||0.0|20.74
14873948|Medline Industries Inc|10/1/2024|FREIGHT|0.0||0.0|40.99
