SEQ_NO|SUPPLIER|INVOICE_DATE|LINE_DESCRIPTION|QUANTITY|UNIT_OF_MEASURE|UNIT_COST|EXTENDED_AMOUNT
1358634|1580 Medline Industries Inc|2024-12-16|SUTURE, 2-0 SILK FS 18IN|2.0||22.89|45.78
1358637|1580 Medline Industries Inc|2024-12-16|SUTURE, 3-0 27IN MONOCRYL ANTIBACTERIAL UNDYED SH|1.0||91.83|91.83
1358651|1580 Medline Industries Inc|2024-12-16|SUTURE, 5-0 18IN MONOCRYL ANTIBACTERIAL UNDYED PS-2|1.0||83.19|83.19
1358829|1580 Medline Industries Inc|2024-12-14|Gloves: Protexis PI Synthetic Polyisoprene Surgical Gloves, Powder Free, Size 7.|20.0|Pair|1.48|29.6
1358872|1580 Medline Industries Inc|2024-12-14|Gloves: Protexis PI Synthetic Polyisoprene Surgical Gloves, Powder Free, Size 6.|50.0|Pair|1.48|74.0
1358920|1580 Medline Industries Inc|2024-12-14|SPECULUM OTOSCOPE ROUND OPERATING PLASTIC DISPOSABLE KLEENSPEC BLACK 5MM|3.0|Carton|1.55|4.65
1359012|1580 Medline Industries Inc|2024-12-13|Freight|0.0||0.0|16.48
1360522|1580 Medline Industries Inc|2024-12-13|Test Kits: hCG Pregnancy Test, Cassette, 25 mIU/mLMedline Premium hCG Pregnancy|2.0|Box|29.33|58.66
1360551|1580 Medline Industries Inc|2024-12-13|Gloves: Protexis PI Synthetic Polyisoprene Surgical Gloves, Powder Free, Size 6.|50.0|Pair|1.48|74.0
1360558|1580 Medline Industries Inc|2024-12-13|"Underpads: Protection Plus Underpad, Light Absorbency, 17"" x 24"", Blue, Inner Pa"|60.0|Bag|1.86|111.6
1360560|1580 Medline Industries Inc|2024-12-13|Vaginal Speculums: KleenSpec 590 Series Vaginal Speculum, Disposable, Size MCent|1.0|Case|134.6|134.6
1361602|1580 Medline Industries Inc|2024-12-12|Test Kits: hCG Pregnancy Test, Cassette, 25 mIU/mLMedline Premium hCG Pregnancy|3.0|Box|29.33|87.99
1361636|1580 Medline Industries Inc|2024-12-12|BP Cuffs: FlexiPort Reusable 1-Tube Blood Pressure Cuff, Screw Connector, Adult,|8.0|Each|8.32|66.56
1361637|1580 Medline Industries Inc|2024-12-12|BP Cuffs: FlexiPort Reusable 1-Tube Blood Pressure Cuff, Screw Connector, Adult,|3.0|Each|8.7|26.1
1361638|1580 Medline Industries Inc|2024-12-12|BP Cuffs: FlexiPort Reusable 1-Tube Blood Pressure Cuff, Screw Connector, Adult,|3.0|Each|8.5|25.5
1361827|1580 Medline Industries Inc|2024-12-12|Sterile paper tape measure|6.0|Case|21.96|131.76
1362102|1580 Medline Industries Inc|2024-12-12|RELOAD, ARTICULATING ENDO GIA TRISTAPLE MED TAN 60MM|1.0||1182.0|1182.0
1362104|1580 Medline Industries Inc|2024-12-12|SUTURE, 5-0 18IN MONOCRYL ANTIBACTERIAL UNDYED P-3|1.0||88.79|88.79
1362253|1580 Medline Industries Inc|2024-12-11|SYSTEM VISUALIZATION ENDO CLEARIFY 8X6IN|38.0|Package|410.0|15580.0
1362905|1580 Medline Industries Inc|2024-12-11|Test Kits: hCG Pregnancy Test, Cassette, 25 mIU/mLMedline Premium hCG Pregnancy|2.0|Box|29.33|58.66
1362906|1580 Medline Industries Inc|2024-12-11|"Underpads: Protection Plus Underpad, Light Absorbency, 17"" x 24"", Blue, Inner Pa"|5.0|Bag|1.86|9.3
1362919|1580 Medline Industries Inc|2024-12-11|INFUSOR PRESSURE SLEEVE WITH STOPCOCK VALVE LATEX FREE DISPOSABLE 1000ML|12.0|Each|12.72|152.64
1362926|1580 Medline Industries Inc|2024-12-11|INDICATOR, BIOLOGICAL RAPID READOUT 4 HR|1.0|Case|1367.9|1367.9
1362945|1580 Medline Industries Inc|2024-12-11|Vaginal Speculums: KleenSpec 590 Series Vaginal Speculum, Disposable, Size MCent|2.0|Box|33.65|67.3
1362951|1580 Medline Industries Inc|2024-12-11|GLOVE EXAM BEADED EXTENDED CUFF NITRILE LATEX FREE POWDER FREE NON STERILE VERSA|2.0|Box|6.65|13.3
1363024|1580 Medline Industries Inc|2024-12-11|"Underpads: Protection Plus Underpad, Light Absorbency, 17"" x 24"", Blue, Inner Pa"|20.0|Bag|1.86|37.2
